local;idade;morador;BH_RMBH;uf_pais;cidade;bairro;sem_carnaval;pernoitar;quantas_pernoites;meio_de_hospedagem;transporte_chega_na_cidade;motivo_carnaval;se_nao_qual_foi;mês_viagem_bh;fonte_info_carnaval_bh;conhece_bh;motivo_viagem_1;motivo_viagem_2;motivo_viagem_3;gasto_hospedagem;gasto_atrativos;gasto_alimentacao;gasto_transporte;gasto_fatansias;gasto_compras;gasto_ingressos;gasto_outros;moeda;gasto_total;pessoas_no_gasto;gasto_percapto;dias_carnaval;gasto_medio_diario;gasto_medio_diario_per_capto;info_carnaval;carnaval_antes;opiniao_carnaval;piorou_pq;expectativas_carnaval;avaliacao_geral;banheiros;seguranca;precos;voltar_carnaval;se_nao_pq;alem_dos_blocos_1;alem_dos_blocos_2;alem_dos_blocos_3;alem_dos_blocos_4;alem_dos_blocos_5;patrocinador;genero;escolaridade;estado_civil;renda;transporte_blocos_1;transporte_blocos_2;transporte_blocos_3;apoio_LGBTQIA;faz_parte_LGBTQIA;data
SEXTA NINGUEM SABE;41;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Jardim America;Sim;;;;;;;;;;;;;;;200;300;0;500;50;0;Real;1050.00;1.00;1050.00;4.00;262.50;262.50;Amigos/Parentes;Sim;NR_NS;;NR_NS;999999;5;6;6;Sim;;Eventos Privados;Precarnaval;Desfiles de Blocos Caricatos (segundaAv. Afonso Pena);;;Nao sabe;Masculino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);;;NS/NR;Nao;17/02/2023
RODA DE TIMBAU;22;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Santa Efigenia;Sim;;;;;;;;;;;;;;;100;0;0;0;0;0;Real;100.00;1.00;100.00;3.00;33.33;33.33;Instagram;Nao;;;Superou;10;2;1;1;Sim;;Nenhuma;;;;;Ambev;Feminino;Ensino Medio completo;Solteiro(a);Ate 1 SM (R$ 1.30200);A pe;;;Sim;Nao;17/02/2023
RODA DE TIMBAU;63;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Boa Vista;Sim;;;;;;;;;;;;;;;500;150;0;0;0;0;Real;650.00;2.00;325.00;5.00;130.00;65;www.portalbelohorizonte.com.br;Sim;Melhorou;;Superou;8;7;8;8;Sim;;Precarnaval;;;;;Belotur;Masculino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Veiculo Proprio;Aplicativos (Uber/99/InDrive);;NS/NR;Nao;17/02/2023
ENTAO BRILHA!;39;Morador;RMBH;Minas Gerais;CONTAGEM;;Nao;;;;;;;;;;;;;;;1000;200;200;0;0;0;Real;1400.00;2.00;700.00;4.00;350.00;175;Instagram;Sim;Melhorou;;Superou;9;8;6;1;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Superior completo;Casado(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Veiculo Proprio;;;Sim;Nao;18/02/2023
ENTAO BRILHA!;34;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Cachoeirinha;Nao;;;;;;;;;;;;;;;300;200;0;0;0;0;Real;500.00;1.00;500.00;5.00;100.00;100;Instagram;Sim;Melhorou;;Superou;10;4;9;10;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Ensino Tecnico completo;Divorciado(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
ENTAO BRILHA!;28;Morador;RMBH;Minas Gerais;SABARA;;Sim;;;;;;;;;;;;;;;200;40;250;0;0;0;Real;490.00;1.00;490.00;2.00;245.00;245;Instagram;Sim;Nem melhorou nem piorou;;Atendeu plenamente;9;7;7;999999;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Ensino Superior completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;;;Sim;Nao;18/02/2023
ENTAO BRILHA!;45;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Funcionarios;Nao;;;;;;;;;;;;;;;500;150;0;0;0;0;Real;650.00;1.00;650.00;3.00;216.67;216.67;Outros sites;Sim;Melhorou;;Atendeu plenamente;10;10;10;7;Sim;;Nenhuma;;;;;Ambev;Masculino;Ensino Superior completo;Casado(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
ENTAO BRILHA!;33;Visitante;Outros Estados;Sao Paulo;SAO PAULO;;;Sim;6;Casa de Amigos/Parentes;APP onibus (Buser Click Bus);Sim;;Dezembro;Amigos/Parentes;Sim;Visitar amigos e parentes;;;0;0;600;300;100;500;0;0;Real;1500.00;3.00;500.00;5.00;300.00;100;Amigos/Parentes;Sim;Piorou;Excesso (Aumento) de publico;Atendeu em parte;7;999999;5;999999;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Divorciado(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
ENTAO BRILHA!;24;Visitante;Outros Estados;Sao Paulo;SAO PAULO;;;Sim;3;Casa de Amigos/Parentes;APP onibus (Buser Click Bus);Sim;;Janeiro;Amigos/Parentes;Nao;;;;0;0;150;0;50;100;50;0;Real;350.00;1.00;350.00;3.00;116.67;116.67;Amigos/Parentes;Nao;;;Atendeu plenamente;8;8;10;7;NR_NS;;NR_NS;;;;;Nao sabe;Masculino;Ensino Medio completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);A pe;;;Sim;Nao;18/02/2023
ENTAO BRILHA!;38;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Cachoeirinha;Nao;;;;;;;;;;;;;;;500;200;150;200;100;0;Real;1150.00;2.00;575.00;3.00;383.33;191.67;www.portalbelohorizonte.com.br;Sim;Melhorou;;Atendeu plenamente;9;9;8;8;Sim;;NR_NS;;;;;Nao sabe;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Casado(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);Taxi;Onibus coletivo;Sim;Nao;18/02/2023
