bloquinho,idade,faixaetaria,morador,estado,ufpais,pernoitar,quantaspernoites,meiodehospedagem,transporteparacidade,mesviagem,fonteinfocarnaval,gastohospedagem,faixagastohospedagem,gastoatrativos,faixagastoatrativos,gastoalimentacao,faixagastoalimentacao,gastotransporte,faixagastotransporte,gastofatansias,faixagastofatansias,gastocompras,faixagastocompras,gastoingressos,faixagastoingressos,gastooutros,faixagastooutros,gastototal,faixagastototal,pessoas_no_gasto,gastopercapto,faixagastopercapto,diascarnaval,gastomediodiario,faixagastomediodiario,gastomediodiariopercapto,faixagastomediodiariopercapto,infocarnaval,opiniaocarnaval,pioroupq,expectativas_carnaval,avaliacao_geral,banheiros,seguranca,precos,voltarcarnaval,alemdosblocos,patrocinador,genero,escolaridade,estadocivil,renda,faixarenda,rendamedia,transporteblocos,apoioLGBTQIA,fazparteLGBTQIA,data
ABALOCAXI,26,Jovem,Visitante,Minas Gerais,Brasil,Sim,8,Casa de Amigos/Parentes,Carro/Moto,Novembro,Amigos/Parentes,0,Muito baixo (zero),0,Muito baixo (zero),600,Alto,250,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),85000,Muito alto,1,85000,Muito alto,5,17000,Muito alto,170,Médio,Outros sites,NR_NS,,Atendeu plenamente,9,10,6,6,Sim,Nenhuma,Nao sabe,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
BEICO DO WANDO,30,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,70,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),37000,Muito alto,2,18500,Muito alto,2,18500,Muito alto,9250,Muito alto,Instagram,Melhorou,,Superou,10,8,8,7,Sim,Nenhuma,Belotur,Feminino,Ensino Superior completo,Casado(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Veiculo Proprio,Sim,Nao,2023-02-19
ABALOCAXI,41,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,800,Alto,0,Muito baixo (zero),80,Baixo,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),98000,Muito alto,2,49000,Muito alto,4,24500,Muito alto,12250,Muito alto,Instagram,Nem melhorou nem piorou,,Superou,10,8,8,5,Sim,Eventos Privados,Prefeitura,Feminino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,A pe,Sim,Sim,2023-02-19
BEICO DO WANDO,31,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,30,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),13000,Muito alto,1,13000,Muito alto,2,6500,Muito alto,65,Baixo,Amigos/Parentes,,,Atendeu plenamente,8,0,8,6,Sim,Nenhuma,Populacao,Outros,Ensino Tecnico completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
PENA DE PAVAO DE KRISHNA,38,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,0,Muito baixo (zero),100,Baixo,150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),40000,Muito alto,4,10000,Muito alto,4,10000,Muito alto,25,Baixo,www.portalbelohorizonte.com.br,Melhorou,,Atendeu plenamente,9,9,10,7,Sim,Nenhuma,Brahma,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Veiculo Proprio,Sim,Nao,2023-02-19
ABALOCAXI,30,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,250,Médio,300,Médio,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),65000,Muito alto,2,32500,Muito alto,3,21667,Muito alto,10833,Muito alto,Instagram,Melhorou,,Atendeu plenamente,10,5,7,7,Sim,Nenhuma,Supermercados BH,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
PENA DE PAVAO DE KRISHNA,27,Jovem,Visitante,Minas Gerais,Brasil,Nao,0,,Carro/Moto,Fevereiro,Midias sociais,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),1,0,Muito baixo (zero),1,0,Muito baixo (zero),0,Muito baixo (zero),Outros sites,,,Atendeu plenamente,10,10,10,5,Sim,Nenhuma,Nao respondeu,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Veiculo Proprio,Sim,Nao,2023-02-19
BEICO DO WANDO,26,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,500,Médio,250,Médio,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),85000,Muito alto,2,42500,Muito alto,4,21250,Muito alto,10625,Muito alto,Nenhuma,Melhorou,,Atendeu plenamente,10,8,10,9,Sim,Precarnaval,Nao sabe,Masculino,Ensino Superior completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Veiculo Proprio,Sim,Nao,2023-02-19
ABALOCAXI,20,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,60,Baixo,120,Médio,0,Muito baixo (zero),0,Muito baixo (zero),170,Médio,0,Muito baixo (zero),35000,Muito alto,2,17500,Muito alto,4,8750,Muito alto,4375,Muito alto,Instagram,Piorou,Infraestrutura geral,Atendeu plenamente,10,5,7,7,Sim,Eventos Privados,Nao sabe,Feminino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-19
PENA DE PAVAO DE KRISHNA,36,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,30,Baixo,20,Baixo,50,Baixo,20,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),12000,Muito alto,1,12000,Muito alto,2,6000,Muito alto,60,Baixo,Amigos/Parentes,Melhorou,,Atendeu plenamente,9,7,8,5,Sim,Nenhuma,Ambev,Feminino,Ensino Superior completo,Casado(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Veiculo Proprio,Sim,Nao,2023-02-19
ABALOCAXI,28,Jovem,Visitante,Minas Gerais,Brasil,Sim,5,Casa de Amigos/Parentes,Onibus rodoviario,Novembro,Amigos/Parentes,0,Muito baixo (zero),0,Muito baixo (zero),500,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),50000,Muito alto,1,50000,Muito alto,5,10000,Muito alto,100,Baixo,Instagram,Melhorou,,Atendeu plenamente,10,7,10,5,Sim,Nenhuma,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),NR_NS,,,A pe,Sim,Nao,2023-02-19
BEICO DO WANDO,37,Adulto,Visitante,Espirito Santo,Brasil,Sim,3,Casa de Amigos/Parentes,Carro/Moto,Dezembro,Amigos/Parentes,0,Muito baixo (zero),1000,Alto,2000,Muito alto,0,Muito baixo (zero),0,Muito baixo (zero),200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),3200,Muito alto,2,1600,Muito alto,1,3200,Muito alto,1600,Muito alto,Amigos/Parentes,,,Superou,10,4,0,0,Sim,Nenhuma,Nao sabe,Feminino,Ensino Superior completo,Casado(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,A pe,Sim,Nao,2023-02-19
PENA DE PAVAO DE KRISHNA,37,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,0,Muito baixo (zero),40,Baixo,0,Muito baixo (zero),100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),14000,Muito alto,2,7000,Muito alto,3,4667,Muito alto,2333,Muito alto,Instagram,NR_NS,,Atendeu plenamente,7,3,10,6,Sim,Nenhuma,Nao respondeu,Masculino,Ensino Superior completo,Uniao Estavel,Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Veiculo Proprio,Sim,Sim,2023-02-19
PENA DE PAVAO DE KRISHNA,39,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,0,Muito baixo (zero),50,Baixo,60,Baixo,600,Alto,180,Médio,0,Muito baixo (zero),89000,Muito alto,2,44500,Muito alto,4,22250,Muito alto,11125,Muito alto,Instagram,Melhorou,,Atendeu plenamente,0,8,10,1,Sim,Eventos Privados,Belotur,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Divorciado(a),Nao possui renda,,,Veiculo Proprio,Sim,Sim,2023-02-19
BEICO DO WANDO,62,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,100,Baixo,0,Muito baixo (zero),200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),50000,Muito alto,1,50000,Muito alto,2,25000,Muito alto,250,Médio,Outros sites,Nem melhorou nem piorou,,Atendeu plenamente,10,0,10,10,Sim,Nenhuma,Prefeitura,Masculino,Ensino Superior completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,A pe,Sim,Nao,2023-02-19
PENA DE PAVAO DE KRISHNA,46,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,50,Baixo,60,Baixo,0,Muito baixo (zero),50,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),16000,Muito alto,1,16000,Muito alto,4,4000,Muito alto,40,Baixo,NR_NS,Melhorou,,Atendeu plenamente,8,7,8,7,Sim,Eventos Privados,Nao respondeu,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-19
BEICO DO WANDO,65,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),10000,Muito alto,1,10000,Muito alto,4,2500,Muito alto,25,Baixo,www.portalbelohorizonte.com.br,Melhorou,,Superou,10,0,7,8,Sim,Desfiles de Escolas de Samba (terca  Av. Afonso Pena),Populacao,Feminino,Ensino Tecnico completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Carona,Nao,Nao,2023-02-19
PENA DE PAVAO DE KRISHNA,40,Meia-idade,Visitante,Minas Gerais,Brasil,Sim,10,Casa de Amigos/Parentes,Carro/Moto,Dezembro,Sites de noticias,,Muito alto,260,Médio,200,Médio,80,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),260,Médio,0,Muito baixo (zero),80000,Muito alto,3,26667,Muito alto,4,20000,Muito alto,6667,Muito alto,www.portalbelohorizonte.com.br,Melhorou,,Atendeu em parte,7,7,8,5,Sim,Eventos Privados,Nao respondeu,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Taxi,Sim,Nao,2023-02-19
ABALOCAXI,28,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,100,Baixo,50,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),35000,Muito alto,1,35000,Muito alto,3,11667,Muito alto,11667,Muito alto,Outros sites,Melhorou,,Superou,10,6,9,6,Sim,Nenhuma,Sesc,Feminino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
BEICO DO WANDO,66,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,400,Médio,200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),60000,Muito alto,2,30000,Muito alto,4,15000,Muito alto,75,Baixo,Nenhuma,Melhorou,,Superou,10,8,9,3,Sim,Desfiles de Blocos Caricatos (segundaAv. Afonso Pena),Belotur,Masculino,Ensino Medio completo,Casado(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Veiculo Proprio,Sim,Nao,2023-02-19
PENA DE PAVAO DE KRISHNA,47,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,30,Baixo,10,Baixo,400,Médio,0,Muito baixo (zero),300,Médio,0,Muito baixo (zero),74000,Muito alto,3,24667,Muito alto,4,18500,Muito alto,6167,Muito alto,Instagram,Melhorou,,Superou,10,9,10,10,Sim,Eventos Privados,Nao respondeu,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Divorciado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Veiculo Proprio,Sim,Nao,2023-02-19
ABALOCAXI,27,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,300,Médio,350,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),95000,Muito alto,1,95000,Muito alto,4,23750,Muito alto,23750,Muito alto,Outros sites,Melhorou,,Atendeu plenamente,10,9,9,6,Sim,Nenhuma,Ambev,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
ABALOCAXI,27,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,80,Baixo,10,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),19000,Muito alto,1,19000,Muito alto,2,9500,Muito alto,95,Baixo,Amigos/Parentes,Nem melhorou nem piorou,,Atendeu plenamente,8,1,10,5,Sim,Eventos Privados,Nao sabe,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
PENA DE PAVAO DE KRISHNA,38,Adulto,Visitante,Minas Gerais,Brasil,Sim,5,Casa de Amigos/Parentes,Carro/Moto,Dezembro,Sites de noticias,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),100,Baixo,92,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),19200,Muito alto,4,4800,Muito alto,2,9600,Muito alto,24,Baixo,www.portalbelohorizonte.com.br,NR_NS,,Superou,8,0,10,0,Sim,Nenhuma,Skol,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-19
BEICO DO WANDO,38,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,150,Médio,30,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),33000,Muito alto,1,33000,Muito alto,5,6600,Muito alto,66,Baixo,Instagram,Melhorou,,Superou,9,8,7,2,Sim,Precarnaval,Prefeitura,Feminino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-19
ABALOCAXI,35,Adulto,Visitante,Minas Gerais,Brasil,Sim,5,Hoteis/Pousadas,Onibus rodoviario,Janeiro,Sites de noticias,600,Alto,0,Muito baixo (zero),800,Alto,100,Baixo,0,Muito baixo (zero),500,Médio,0,Muito baixo (zero),0,Muito baixo (zero),200000,Muito alto,1,200000,Muito alto,5,40000,Muito alto,400,Médio,www.portalbelohorizonte.com.br,Melhorou,,Atendeu plenamente,10,6,9,5,Sim,Nenhuma,Ambev,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,A pe,Sim,Sim,2023-02-19
BEICO DO WANDO,24,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,40,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),34000,Muito alto,1,34000,Muito alto,4,8500,Muito alto,85,Baixo,Instagram,Melhorou,,Atendeu plenamente,8,6,9,5,Sim,Desfiles de Blocos Caricatos (segundaAv. Afonso Pena),Prefeitura,Masculino,Ensino Tecnico completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-19
PENA DE PAVAO DE KRISHNA,68,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,20,Baixo,0,Muito baixo (zero),20,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),4000,Muito alto,1,4000,Muito alto,2,2000,Muito alto,20,Baixo,Outros sites,Nem melhorou nem piorou,,Atendeu plenamente,8,3,8,3,Sim,Nenhuma,Prefeitura,Feminino,Ensino Superior completo,Casado(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Veiculo Proprio,Sim,Nao,2023-02-19
ABALOCAXI,25,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),10000,Muito alto,1,10000,Muito alto,4,2500,Muito alto,25,Baixo,Instagram,Piorou,Excesso (Aumento) de publico,Atendeu em parte,6,7,1,2,Sim,Nenhuma,Skol,Masculino,Ensino Superior completo,Solteiro(a),Ate 1 SM (R$ 1.30200),Até 1 SM,1302,A pe,Sim,Sim,2023-02-19
BEICO DO WANDO,67,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,90,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),9000,Muito alto,1,9000,Muito alto,3,3000,Muito alto,30,Baixo,Jornal impresso,Melhorou,,Superou,8,0,9,8,Sim,Nenhuma,Prefeitura,Feminino,Ensino Superior completo,Solteiro(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,A pe,NS/NR,Nao,2023-02-19
ABALOCAXI,27,Jovem,Visitante,Minas Gerais,Brasil,Nao,0,,Onibus rodoviario,Fevereiro,Amigos/Parentes,0,Muito baixo (zero),0,Muito baixo (zero),200,Médio,20,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),220,Médio,1,220,Médio,1,220,Médio,220,Médio,Amigos/Parentes,,,Atendeu plenamente,8,5,9,4,Sim,Eventos Privados,Ambev,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Sim,2023-02-19
PENA DE PAVAO DE KRISHNA,29,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,100,Baixo,0,Muito baixo (zero),100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),40000,Muito alto,1,40000,Muito alto,4,10000,Muito alto,100,Baixo,Amigos/Parentes,,,Atendeu em parte,8,4,10,7,Sim,Eventos Privados,Prefeitura,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
BEICO DO WANDO,32,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,1000,Alto,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),100000,Muito alto,1,100000,Muito alto,5,20000,Muito alto,200,Médio,Instagram,Melhorou,,Superou,8,1,8,8,Sim,Precarnaval,Prefeitura,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,A pe,Sim,Sim,2023-02-19
PENA DE PAVAO DE KRISHNA,58,Meia-idade,Visitante,Minas Gerais,Brasil,Sim,4,Casa de Amigos/Parentes,Onibus rodoviario,Dezembro,Folhetos,0,Muito baixo (zero),500,Médio,100,Baixo,200,Médio,300,Médio,100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),120000,Muito alto,1,120000,Muito alto,4,30000,Muito alto,300,Médio,Folheto,,,Atendeu plenamente,7,2,10,8,Sim,Nenhuma,Prefeitura,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-19
BEICO DO WANDO,35,Adulto,Visitante,Minas Gerais,Brasil,Sim,6,Casa de Amigos/Parentes,Carro/Moto,Dezembro,Amigos/Parentes,0,Muito baixo (zero),300,Médio,1000,Alto,0,Muito baixo (zero),200,Médio,500,Médio,0,Muito baixo (zero),0,Muito baixo (zero),200000,Muito alto,3,66667,Muito alto,6,33333,Muito alto,11111,Muito alto,Amigos/Parentes,,,Superou,8,5,9,3,Sim,NR_NS,Prefeitura,Feminino,Ensino Superior completo,Casado(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,A pe,Sim,Nao,2023-02-19
PENA DE PAVAO DE KRISHNA,21,Jovem,Visitante,Sao Paulo,Brasil,Sim,3,Casa de Amigos/Parentes,Carro/Moto,Janeiro,Amigos/Parentes,150,Médio,0,Muito baixo (zero),300,Médio,80,Baixo,50,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),58000,Muito alto,1,58000,Muito alto,3,19333,Muito alto,19333,Muito alto,Amigos/Parentes,,,Atendeu plenamente,10,10,10,9,Sim,NR_NS,Nao respondeu,Feminino,Ensino Medio completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Veiculo Proprio,Sim,Nao,2023-02-19
BEICO DO WANDO,43,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,800,Alto,200,Médio,200,Médio,500,Médio,0,Muito baixo (zero),0,Muito baixo (zero),170000,Muito alto,3,56667,Muito alto,3,56667,Muito alto,18889,Muito alto,www.portalbelohorizonte.com.br,Nem melhorou nem piorou,,Atendeu plenamente,8,7,8,4,Sim,Nenhuma,Belotur,Masculino,Ensino Superior completo,Casado(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Veiculo Proprio,Sim,Nao,2023-02-19
BEICO DO WANDO,34,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),1600,Muito alto,180000,Muito alto,1,180000,Muito alto,5,36000,Muito alto,360,Médio,www.portalbelohorizonte.com.br,,,Superou,10,10,10,10,Sim,Desfiles de Blocos Caricatos (segundaAv. Afonso Pena),Belotur,Feminino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,A pe,Sim,Nao,2023-02-19
BEICO DO WANDO,34,Adulto,Visitante,Minas Gerais,Brasil,Sim,4,Casa de Amigos/Parentes,Trem,Fevereiro,Amigos/Parentes,0,Muito baixo (zero),200,Médio,300,Médio,0,Muito baixo (zero),20,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),52000,Muito alto,1,52000,Muito alto,4,13000,Muito alto,130,Médio,Amigos/Parentes,Melhorou,,Superou,10,5,7,9,Sim,NR_NS,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,A pe,Sim,Nao,2023-02-19
BLOCO ANGOLA JANGA,29,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,40,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),100,Baixo,34000,Muito alto,1,34000,Muito alto,2,17000,Muito alto,170,Médio,www.portalbelohorizonte.com.br,Nem melhorou nem piorou,,Atendeu plenamente,8,9,10,9,Sim,Nenhuma,Prefeitura,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Onibus coletivo,Sim,Sim,2023-02-19
BLOCO ANGOLA JANGA,28,Jovem,Visitante,Rio Grande do Norte,Brasil,Sim,8,Casa de Amigos/Parentes,Aviao,Janeiro,Ja conhece,0,Muito baixo (zero),0,Muito baixo (zero),300,Médio,60,Baixo,0,Muito baixo (zero),300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),66000,Muito alto,1,66000,Muito alto,6,11000,Muito alto,110,Médio,Instagram,Nem melhorou nem piorou,,Atendeu plenamente,9,9,8,8,Sim,Nenhuma,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-19
BEICO DO WANDO,57,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,600,Alto,200,Médio,300,Médio,0,Muito baixo (zero),280,Médio,0,Muito baixo (zero),138000,Muito alto,2,69000,Muito alto,4,34500,Muito alto,17250,Muito alto,www.portalbelohorizonte.com.br,Melhorou,,Superou,10,2,8,1,Sim,Eventos Privados,Prefeitura,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Veiculo Proprio,NS/NR,Nao,2023-02-19
BLOCO ANGOLA JANGA,37,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,600,Alto,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),60000,Muito alto,1,60000,Muito alto,4,15000,Muito alto,150,Médio,Outros sites,Melhorou,,Atendeu plenamente,8,6,9,4,Sim,Nenhuma,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-19
BLOCO ANGOLA JANGA,51,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,50,Baixo,100,Baixo,50,Baixo,30,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),23000,Muito alto,1,23000,Muito alto,4,5750,Muito alto,5750,Muito alto,Amigos/Parentes,Melhorou,,Atendeu plenamente,9,6,8,6,Sim,Nenhuma,Nao sabe,Feminino,Ensino Superior completo,Solteiro(a),Ate 1 SM (R$ 1.30200),Até 1 SM,1302,Onibus coletivo,Sim,Nao,2023-02-19
