bloquinho,idade,faixaetaria,morador,estado,ufpais,pernoitar,quantaspernoites,meiodehospedagem,transporteparacidade,mesviagem,fonteinfocarnaval,gastohospedagem,faixagastohospedagem,gastoatrativos,faixagastoatrativos,gastoalimentacao,faixagastoalimentacao,gastotransporte,faixagastotransporte,gastofatansias,faixagastofatansias,gastocompras,faixagastocompras,gastoingressos,faixagastoingressos,gastooutros,faixagastooutros,gastototal,faixagastototal,pessoas_no_gasto,gastopercapto,faixagastopercapto,diascarnaval,gastomediodiario,faixagastomediodiario,gastomediodiariopercapto,faixagastomediodiariopercapto,infocarnaval,opiniaocarnaval,pioroupq,expectativas_carnaval,avaliacao_geral,banheiros,seguranca,precos,voltarcarnaval,alemdosblocos,patrocinador,genero,escolaridade,estadocivil,renda,faixarenda,rendamedia,transporteblocos,apoioLGBTQIA,fazparteLGBTQIA,data
SEU VIZINHO,34,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,400,Médio,0,Muito baixo (zero),1000,Alto,600,Alto,0,Muito baixo (zero),230000,Muito alto,1,230000,Muito alto,4,57500,Muito alto,575,Alto,Amigos/Parentes,NR_NS,,Atendeu plenamente,9,1,1,7,Nao,Eventos Privados,Nao sabe,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,30,Adulto,Visitante,Minas Gerais,Brasil,Sim,3,Casa propria,Carro/Moto,Fevereiro,Internet,0,Muito baixo (zero),1000,Alto,300,Médio,150,Médio,0,Muito baixo (zero),100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),155000,Muito alto,5,31000,Muito alto,3,51667,Muito alto,10333,Muito alto,Instagram,,,Atendeu plenamente,10,5,10,4,Sim,Eventos Privados,Prefeitura,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-18
VOLTA BELCHIOR,35,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,80,Baixo,20,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),10000,Muito alto,1,10000,Muito alto,2,50,Baixo,50,Baixo,Outros sites,NR_NS,,Atendeu plenamente,8,10,4,5,Sim,Nenhuma,Ambev,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
BLOCO DA CALIXTO,22,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,600,Alto,0,Muito baixo (zero),250,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),85000,Muito alto,1,85000,Muito alto,5,17000,Muito alto,170,Médio,Amigos/Parentes,Nem melhorou nem piorou,,NR_NS,7,8,10,3,Sim,Eventos Privados,Brahma,Outros,Ensino Superior completo,Casado(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-18
SEU VIZINHO,29,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,80,Baixo,20,Baixo,150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),35000,Muito alto,1,35000,Muito alto,3,11667,Muito alto,11667,Muito alto,Amigos/Parentes,NR_NS,,Atendeu em parte,8,7,6,5,Sim,Nenhuma,Nao sabe,Feminino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Onibus coletivo,Sim,Sim,2023-02-18
VOLTA BELCHIOR,25,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),20000,Muito alto,1,20000,Muito alto,4,5000,Muito alto,50,Baixo,Instagram,Melhorou,,Superou,9,5,7,7,Sim,Desfiles de Blocos Caricatos (segundaAv. Afonso Pena),Nao sabe,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Sim,2023-02-18
BLOCO DA CALIXTO,28,Jovem,Visitante,Minas Gerais,Brasil,Sim,3,Casa propria,Carro/Moto,Fevereiro,Midias sociais,0,Muito baixo (zero),500,Médio,200,Médio,100,Baixo,0,Muito baixo (zero),200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),100000,Muito alto,5,20000,Muito alto,3,33333,Muito alto,6667,Muito alto,Instagram,,,Superou,8,6,5,7,Sim,Nenhuma,Supermercados BH,Feminino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,26,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,40,Baixo,200,Médio,0,Muito baixo (zero),450,Médio,0,Muito baixo (zero),99000,Muito alto,1,99000,Muito alto,3,330,Médio,330,Médio,Instagram,,,Superou,10,8,4,3,Sim,Eventos Privados,Cemig,Feminino,Ensino Superior completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Onibus coletivo,Sim,Nao,2023-02-18
BLOCO DA CALIXTO,51,Meia-idade,Visitante,Sao Paulo,Brasil,Sim,5,Casa alugada,APP onibus (Buser Click Bus),Fevereiro,Amigos/Parentes,265,Médio,300,Médio,1200,Muito alto,140,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),67,Baixo,197200,Muito alto,1,197200,Muito alto,5,39440,Muito alto,39440,Muito alto,Amigos/Parentes,,,Atendeu plenamente,9,6,8,9,Sim,Nenhuma,Prefeitura,Feminino,Ensino Tecnico completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
VOLTA BELCHIOR,51,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,800,Alto,200,Médio,60,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),106000,Muito alto,1,106000,Muito alto,4,26500,Muito alto,265,Médio,www.portalbelohorizonte.com.br,Melhorou,,Superou,10,7,9,10,Sim,Precarnaval,Prefeitura,Feminino,Ensino Fundamental completo,Casado(a),NR_NS,,,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-18
